Name,代码,粉丝数
激成投资 ,(HK:00184),40
恒辉企业控股 ,(HK:00185),15
嘉域集团 ,(HK:00186),5
京城机电股份 ,(HK:00187),206
新华汇富金融 ,(HK:00188),68
东岳集团 ,(HK:00189),1088
香港建设（控股） ,(HK:00190),44
丽新国际 ,(HK:00191),21
冠中地产 ,(HK:00193),12
廖创兴企业 ,(HK:00194),371
利海资源 ,(HK:00195),58
宏华集团 ,(HK:00196),1088
亨泰 ,(HK:00197),58
星美国际 ,(HK:00198),288
德祥地产 ,(HK:00199),13
新濠国际发展 ,(HK:00200),329
华大地产 ,(HK:00201),22
润中国际控股 ,(HK:00202),97
中国投资开发 ,(HK:00204),85
财讯传媒 ,(HK:00205),148
TSC集团 ,(HK:00206),1349
中粮置地控股 ,(HK:00207),206
保利达资产 ,(HK:00208),28
中国大亨饮品 ,(HK:00209),95
达芙妮国际 ,(HK:00210),1226
大凌集团 ,(HK:00211),44
南洋集团有限公司 ,(HK:00212),42
乐声电子有限公司 ,(HK:00213),28
汇汉控股 ,(HK:00214),17
和记电讯香港 ,(HK:00215),147
建业实业 ,(HK:00216),18
中国诚通发展集团 ,(HK:00217),136
申银万国 ,(HK:00218),409
顺豪科技 ,(HK:00219),30
统一企业中国 ,(HK:00220),910
PNG资源 ,(HK:00221),54
闽信集团 ,(HK:00222),69
神州资源 ,(HK:00223),75
建生国际 ,(HK:00224),36
博富临置业 ,(HK:00225),12
力宝 ,(HK:00226),52
第一上海 ,(HK:00227),190
中能控股 ,(HK:00228),160
利民实业 ,(HK:00229),52
五矿建设 ,(HK:00230),100
盛明国际控股 ,(HK:00231),37
中国航空工业国际 ,(HK:00232),443
铭源医疗 ,(HK:00233),688
新世纪集团 ,(HK:00234),20
中策集团 ,(HK:00235),98
香港生力啤 ,(HK:00236),23
安全货仓 ,(HK:00237),53
长兴国际 ,(HK:00238),86
白花油 ,(HK:00239),87
利基控股 ,(HK:00240),23
中信21世纪 ,(HK:00241),2155
信德集团 ,(HK:00242),122
品质国际集团有限公司 ,(HK:00243),22
先施 ,(HK:00244),28
中国七星控股 ,(HK:00245),60
瑞金矿业 ,(HK:00246),42
尖沙咀置业集团 ,(HK:00247),16
香港通讯国际控股 ,(HK:00248),16
中国数码信息 ,(HK:00250),55
爪哇控股 ,(HK:00251),32
华信地产财务 ,(HK:00252),5
顺豪资源集团 ,(HK:00253),25
国家联合资源 ,(HK:00254),64
龙记集团 ,(HK:00255),77
冠城钟表珠宝 ,(HK:00256),129
中国光大国际 ,(HK:00257),1175
汤臣集团 ,(HK:00258),107
亿都（国际控股） ,(HK:00259),233
中国环投股份 ,(HK:00260),134
中建置地 ,(HK:00261),49
迪臣发展国际 ,(HK:00262),34
中国云锡矿业 ,(HK:00263),50
卓高国际 ,(HK:00264),265
南华集团 ,(HK:00265),46
天德地产 ,(HK:00266),14
中信股份 ,(HK:00267),962
金蝶国际 ,(HK:00268),1609
中国资源交通 ,(HK:00269),145
粤海投资 ,(HK:00270),332
丹枫控股 ,(HK:00271),23
瑞安房地产 ,(HK:00272),359
威利国际 ,(HK:00273),21
中富资源 ,(HK:00274),18
锦兴集团 ,(HK:00275),18
蒙古能源 ,(HK:00276),77
太兴置业 ,(HK:00277),11
华厦置业 ,(HK:00278),13
民丰企业 ,(HK:00279),31
景福集团 ,(HK:00280),71
川河集团 ,(HK:00281),113
壹传媒 ,(HK:00282),160
高银地产 ,(HK:00283),29
比亚迪电子 ,(HK:00285),1737
同佳健康 ,(HK:00286),44
永发置业 ,(HK:00287),7
万洲国际 ,(HK:00288),2251
永安国际有限公司 ,(HK:00289),44
中国富强金融 ,(HK:00290),280
华润创业 ,(HK:00291),653
泛海酒店 ,(HK:00292),25
国泰航空 ,(HK:00293),193
长江制衣 ,(HK:00294),21
江山控股 ,(HK:00295),156
英皇娱乐酒店 ,(HK:00296),463
中化化肥 ,(HK:00297),403
庄士中国 ,(HK:00298),196
中讯软件 ,(HK:00299),70
昆明机床 ,(HK:00300),141
永亨银行 ,(HK:00302),127
VTechHoldings ,(HK:00303),135
宜进利（集团） ,(HK:00304),1
五菱汽车 ,(HK:00305),92
冠忠巴士集团 ,(HK:00306),34
优派能源发展 ,(HK:00307),82
香港中旅 ,(HK:00308),561
新华通讯频媒 ,(HK:00309),66
嘉进投资国际 ,(HK:00310),19
联泰控股 ,(HK:00311),106
岁宝百货 ,(HK:00312),70
裕田中国 ,(HK:00313),66
数码通电讯 ,(HK:00315),147
东方海外国际 ,(HK:00316),138
广州广船国际股份 ,(HK:00317),347
黄河实业 ,(HK:00318),22
勤美达国际 ,(HK:00319),81
金宝通 ,(HK:00320),143
德永佳集团 ,(HK:00321),76
康师傅控股 ,(HK:00322),1191
马鞍山钢铁股份 ,(HK:00323),154
创生控股 ,(HK:00325),369
中国星集团 ,(HK:00326),100
百富环球 ,(HK:00327),912
爱高集团有限公司 ,(HK:00328),43
叁龙国际 ,(HK:00329),51
思捷环球 ,(HK:00330),428
春天百货 ,(HK:00331),88
元亨燃气 ,(HK:00332),55
黛丽斯国际 ,(HK:00333),45
唯冠国际 ,(HK:00334),13
美建集团 ,(HK:00335),2
华宝国际 ,(HK:00336),1140
绿地香港 ,(HK:00337),673
上海石油化工股份 ,(HK:00338),717
安利时投资 ,(HK:00339),38
中国矿业 ,(HK:00340),51
大家乐集团 ,(HK:00341),370
新海能源 ,(HK:00342),186
文化传信 ,(HK:00343),74
维他奶国际集团 ,(HK:00345),593
延长石油国际 ,(HK:00346),173
鞍钢股份 ,(HK:00347),333
龙昌 ,(HK:00348),290
经纬纺织机械股份 ,(HK:00350),614
亚洲能源物流 ,(HK:00351),158
富阳 ,(HK:00352),17
能源国际投资 ,(HK:00353),77
中国软件国际 ,(HK:00354),720
世纪城市国际 ,(HK:00355),13
鼎立资本 ,(HK:00356),36
美兰机场 ,(HK:00357),275
江西铜业股份 ,(HK:00358),602
海升果汁 ,(HK:00359),87
新焦点 ,(HK:00360),513
顺龙控股 ,(HK:00361),86
中国天化工 ,(HK:00362),24
上海实业控股 ,(HK:00363),153
坪山茶业 ,(HK:00364),116
日东科技 ,(HK:00365),23
陆氏集团（越南） ,(HK:00366),38
庄士机构国际 ,(HK:00367),47
中外运航运 ,(HK:00368),200
永泰地产 ,(HK:00369),19
国华 ,(HK:00370),89
北控水务集团 ,(HK:00371),928
德祥企业 ,(HK:00372),15
联合集团 ,(HK:00373),16
四洲集团 ,(HK:00374),93
YGM贸易 ,(HK:00375),45
瑞东集团 ,(HK:00376),91
新洲发展控股 ,(HK:00377),101
事安集团 ,(HK:00378),41
必美宜 ,(HK:00379),20
中国管业 ,(HK:00380),51
侨雄能源 ,(HK:00381),53
威灵控股 ,(HK:00382),196
中国网络资本 ,(HK:00383),16
中国燃气 ,(HK:00384),1208
建联集团 ,(HK:00385),64
中国石油化工股份 ,(HK:00386),3634
力丰（集团） ,(HK:00387),16
香港交易所 ,(HK:00388),1569
通天酒业 ,(HK:00389),177
中国中铁 ,(HK:00390),760
美亚娱乐资讯 ,(HK:00391),172
北京控股 ,(HK:00392),318
旭日企业 ,(HK:00393),174
中国智能集团 ,(HK:00395),76
兴利（香港）控股 ,(HK:00396),24
君阳太阳能 ,(HK:00397),303
东方表行集团 ,(HK:00398),102
联合基因集团 ,(HK:00399),229
科通芯城 ,(HK:00400),934
万嘉集团 ,(HK:00401),86
天下图控股 ,(HK:00402),554
星光集团 ,(HK:00403),31
新昌营造 ,(HK:00404),39
越秀房产信托基金 ,(HK:00405),282
有利集团 ,(HK:00406),12
叶氏化工集团 ,(HK:00408),133
SOHO中国 ,(HK:00410),1581
南顺（香港） ,(HK:00411),59
汉基控股 ,(HK:00412),36
南华中国 ,(HK:00413),9
谢瑞麟 ,(HK:00417),113
方正控股 ,(HK:00418),168
中国9号健康 ,(HK:00419),115
福田实业 ,(HK:00420),52
中国大冶优先股 ,(HK:00421),9
越南制造加工出口 ,(HK:00422),33
经济日报集团 ,(HK:00423),40
敏实集团 ,(HK:00425),152
万华媒体 ,(HK:00426),80
亨亚 ,(HK:00428),8
东方网库 ,(HK:00430),20
大中华实业 ,(HK:00431),17
盈大地产 ,(HK:00432),141
北方矿业 ,(HK:00433),103
博雅互动 ,(HK:00434),3286
阳光房地产基金 ,(HK:00435),87
彩虹电子 ,(HK:00438),176
光启科学 ,(HK:00439),647
大新金融 ,(HK:00440),61
SincereWatchHK ,(HK:00444),34
中国消防 ,(HK:00445),88
汉登控股 ,(HK:00448),7
志高控股 ,(HK:00449),217
鸿兴印刷集团 ,(HK:00450),50
协鑫新能源 ,(HK:00451),680
天大药业 ,(HK:00455),105
新城市建设发展 ,(HK:00456),16
联亚集团 ,(HK:00458),40
美联工商铺 ,(HK:00459),52
四环医药 ,(HK:00460),1563
天然乳品 ,(HK:00462),22
建福集团 ,(HK:00464),43
富通科技 ,(HK:00465),23
联合能源集团 ,(HK:00467),47
纷美包装 ,(HK:00468),408
凯普松国际 ,(HK:00469),59
中播控股 ,(HK:00471),154
金六福投资 ,(HK:00472),63
昊天发展集团 ,(HK:00474),56
中发展控股 ,(HK:00475),16
中国动力控股 ,(HK:00476),261
奥普集团控股 ,(HK:00477),345
华建控股 ,(HK:00479),42
香港兴业国际 ,(HK:00480),76
圣马丁国际 ,(HK:00482),11
