股票代码	股票名称	当前价	涨跌额	涨跌幅	当日股价幅度	52周股价幅度	市值	市盈率	成交量	操作
MRK	默克	56.87	+0.73	+1.30%	55.73 - 56.95	44.62 - 61.33	1641.90亿	30.01	493.05万	关注
HLT	希尔顿	22.32	+0.28	+1.27%	21.62 - 22.35	20.55 - 25.95	219.77亿	37.83	265.33万	关注
SPY	标普500	189.73	+2.32	+1.24%	187.52 - 189.81	168.77 - 201.90	1713.32亿	5.80	2778.08万	关注
NDAQ	纳斯达克	40.47	+0.49	+1.23%	39.99 - 40.57	33.01 - 44.33	68.30亿	15.29	36.61万	关注
BLK	贝莱德	307.44	+3.53	+1.16%	304.00 - 309.20	277.50 - 337.65	510.90亿	16.93	23.71万	关注
QQQ	纳斯达克	94.03	+1.07	+1.15%	92.74 - 94.16	78.68 - 100.56	378.70亿	-	3573.52万	关注
XOM	埃克森美	91.89	+1.05	+1.15%	90.69 - 92.15	86.51 - 104.76	3918.40亿	11.70	836.08万	关注
SNE	索尼	17.17	+0.19	+1.12%	16.99 - 17.18	15.23 - 20.35	191.97亿	-	93.55万	关注
NUS	如新集团	48.84	+0.54	+1.12%	47.92 - 49.18	40.06 - 140.50	28.88亿	9.68	46.37万	关注
ZNGA	Zynga	2.31	+0.03	+1.10%	2.23 - 2.32	2.23 - 5.89	20.60亿	-	850.00万	关注
BAC	美国银行	16.57	+0.18	+1.07%	16.40 - 16.63	13.80 - 18.03	1741.95亿	26.54	4339.09万	关注
KORS	Michael	73.02	+0.77	+1.07%	71.72 - 73.11	70.44 - 101.04	149.52亿	20.74	93.32万	关注
MCD	麦当劳	91.61	+0.88	+0.97%	90.63 - 91.74	90.53 - 103.78	899.30亿	16.59	209.22万	关注
AA	美国铝业	14.63	+0.14	+0.97%	14.06 - 14.72	8.27 - 17.36	174.48亿	-	1982.74万	关注
MDLZ	亿滋	33.28	+0.30	+0.91%	32.99 - 33.35	30.42 - 39.54	561.40亿	30.61	279.06万	关注
MET	大都会人	49.41	+0.44	+0.90%	48.89 - 49.57	46.98 - 57.57	554.30亿	12.60	406.32万	关注
GS	高盛	180.37	+1.60	+0.89%	177.90 - 181.79	151.65 - 189.50	794.67亿	11.56	194.00万	关注
CHU	中国联通	14.84	+0.13	+0.88%	14.67 - 14.84	11.71 - 18.20	357.70亿	18.45	8.10万	关注
LOCO	El Pollo	34.52	+0.29	+0.85%	33.81 - 34.90	18.48 - 41.70	12.70亿	-	44.52万	关注
PFE	辉瑞	28.71	+0.24	+0.84%	28.40 - 28.80	27.87 - 32.96	1821.73亿	18.12	911.20万	关注
MAT	美泰	30.45	+0.25	+0.83%	30.10 - 30.45	29.96 - 47.94	102.90亿	13.11	162.10万	关注
BOFI	BofI控股	66.55	+0.52	+0.79%	66.05 - 67.39	57.55 - 106.55	9.66亿	17.30	9.35万	关注
UBNT	Ubiquiti	32.00	+0.23	+0.72%	31.05 - 32.35	30.50 - 56.85	28.20亿	16.23	57.73万	关注
IBM	IBM	184.81	+1.29	+0.70%	183.89 - 185.72	172.19 - 199.21	1844.15亿	11.69	154.03万	关注
CRM	Salesfor	53.58	+0.35	+0.66%	52.65 - 54.29	48.18 - 67.00	331.40亿	-	223.10万	关注
WMT	沃尔玛	78.07	+0.51	+0.66%	77.67 - 78.63	71.69 - 81.37	2516.50亿	16.33	283.20万	关注
SNP	中石化	86.41	+0.56	+0.65%	85.18 - 86.49	73.99 - 105.88	1001.02亿	9.38	5.01万	关注
T	AT&T	34.02	+0.20	+0.58%	33.73 - 34.06	31.74 - 37.48	1764.28亿	9.99	995.10万	关注
MSFT	微软	43.90	+0.25	+0.57%	43.56 - 44.38	33.57 - 47.57	3619.77亿	16.70	1632.88万	关注
AAPL	苹果	100.37	+0.56	+0.56%	99.85 - 100.42	69.91 - 103.74	6010.02亿	2.42	2809.59万	关注
PTR	中石油	123.03	+0.65	+0.53%	121.33 - 123.23	94.75 - 150.80	2321.97亿	10.39	5.59万	关注
TRV	旅行者保	94.01	+0.49	+0.52%	93.62 - 94.38	79.89 - 96.18	318.60亿	9.49	157.06万	关注
VZ	Verizon	48.62	+0.25	+0.52%	48.27 - 48.62	45.45 - 53.66	2014.58亿	10.33	644.54万	关注
BX	黑石集团	29.45	+0.13	+0.44%	28.61 - 29.68	25.60 - 36.08	340.00亿	11.26	278.01万	关注
YHOO	雅虎	38.55	+0.17	+0.44%	37.71 - 38.75	31.70 - 44.01	383.42亿	33.23	1540.27万	关注
DD	杜邦	66.00	+0.29	+0.44%	65.37 - 66.24	57.48 - 72.92	603.60亿	20.83	267.40万	关注
YUM	百胜餐饮	67.90	+0.28	+0.41%	67.53 - 67.98	64.08 - 83.58	298.60亿	21.23	137.01万	关注
AXP	美国运通	83.12	+0.34	+0.41%	82.58 - 83.38	75.10 - 96.24	870.12亿	15.98	230.05万	关注
HPQ	惠普	32.82	+0.13	+0.40%	32.15 - 32.98	22.40 - 38.25	614.18亿	11.56	465.52万	关注
MBLY	Mobileye	46.16	+0.18	+0.39%	44.10 - 48.70	31.11 - 60.28	98.00亿	-	363.02万	关注
ATVI	动视暴雪	18.49	+0.07	+0.38%	18.24 - 18.74	16.06 - 24.18	132.60亿	19.63	281.01万	关注
V	VISA	204.92	+0.64	+0.31%	203.46 - 205.90	190.02 - 235.50	1276.94亿	23.34	134.00万	关注
AOL	美国在线	40.00	+0.10	+0.25%	39.42 - 40.45	32.31 - 53.28	31.53亿	44.37	47.80万	关注
CYBR	Cyber-Ar	31.32	+0.07	+0.22%	30.70 - 33.11	22.12 - 35.88	9.52亿	164.06	107.00万	关注
CVX	雪佛龙	112.23	+0.20	+0.18%	110.55 - 113.05	109.27 - 135.10	2129.27亿	10.70	377.14万	关注
PG	宝洁	83.47	+0.10	+0.12%	83.03 - 83.91	75.26 - 85.82	2260.08亿	20.82	308.04万	关注
GLD	黄金ETF-	118.66	+0.14	+0.12%	118.36 - 118.81	114.42 - 133.69	300.87亿	26.67	62.47万	关注
CHL	中国移动	60.14	+0.06	+0.10%	59.54 - 60.14	41.35 - 65.55	2458.40亿	12.88	22.25万	关注
KFT	卡夫食品	0.00	0.00	0.00%	0.00 - 0.00	95.64 - 127.62	754.58亿	21.08	0.00	关注
WPO	华盛顿邮	0.00	0.00	0.00%	0.00 - 0.00	341.34 - 686.50	46.46亿	53.08	0.00	关注
DELL	戴尔	0.00	0.00	0.00%	0.00 - 0.00	8.69 - 14.64	0.00	-	0.00	关注
ELOQ	Eloqua	0.00	0.00	0.00%	0.00 - 0.00	11.60 - 24.83	0.00	-	0.00	关注
ISRG	达芬奇手	465.09	+0.02	0.00%	459.02 - 471.00	346.46 - 541.23	166.80亿	38.15	13.89万	关注
NEWL	NewLead	0.050	0.00	0.00%	0.00 - 0.00	0.050 - 137250.09	261.00万	-	49.35万	取消
FOMX	Foamix	5.60	0.00	0.00%	5.50 - 5.67	4.75 - 11.00	1.21亿	-	7.22万	关注
KN*	KN*	32.15	0.00	0.00%	0.00 - 0.00	27.58 - 32.85	27.30亿	26.99	0.00	关注
NSRGY	雀巢	71.23	-0.01	-0.01%	70.77 - 71.30	67.69 - 80.65	2297.35亿	22.74	29.02万	关注
NKE	耐克	85.32	-0.07	-0.08%	85.02 - 85.91	69.85 - 90.50	735.38亿	26.64	171.07万	关注
JNJ	强生	99.02	-0.10	-0.10%	95.34 - 100.90	86.09 - 108.77	2836.68亿	18.32	1110.30万	关注
ADBE	Adobe	61.56	-0.12	-0.19%	60.89 - 62.30	51.54 - 74.69	307.32亿	127.78	160.12万	关注
JPM	摩根大通	57.93	-0.23	-0.40%	56.06 - 58.03	51.30 - 61.85	2198.58亿	14.94	1297.62万	关注
KO	可口可乐	43.87	-0.20	-0.45%	43.75 - 44.12	36.89 - 44.87	1922.35亿	23.43	916.14万	关注
EXPE	Expedia	75.99	-0.35	-0.46%	73.88 - 77.65	47.26 - 89.26	96.70亿	30.62	309.02万	关注
TRIP	TripAdvi	79.25	-0.39	-0.49%	77.47 - 81.15	69.33 - 111.24	113.16亿	54.39	141.00万	关注
PEP	百事	93.44	-0.50	-0.53%	93.32 - 94.52	77.01 - 96.22	1403.36亿	20.66	208.21万	关注
BIOF	生物燃料	5.19	-0.03	-0.57%	5.19 - 5.29	1.13 - 13.11	2816.00万	-	11.69万	关注
W	Wayfair	26.13	-0.28	-1.06%	25.97 - 26.69	24.25 - 39.43	21.58亿	-	32.14万	关注
WFC	富国银行	49.67	-0.53	-1.06%	49.01 - 49.86	41.10 - 53.80	2626.46亿	12.26	1780.47万	关注
AMD	AMD	2.71	-0.03	-1.09%	2.60 - 2.73	2.60 - 4.80	20.80亿	25.33	2043.00万	关注
CSLT	Castligh	11.52	-0.14	-1.20%	11.35 - 12.03	10.05 - 41.95	10.30亿	-	27.94万	关注
TKAI	Tokai Ph	14.20	-0.24	-1.66%	13.59 - 14.47	9.67 - 30.00	3.17亿	0.36	9.11万	关注
GILD	吉利德科	99.65	-1.79	-1.76%	94.27 - 102.88	61.81 - 110.64	1500.20亿	22.33	1401.15万	关注
NBG	希腊国家	2.53	-0.13	-4.89%	2.52 - 2.58	2.52 - 6.48	93.35亿	-	273.00万	关注
TZA	罗素2000	17.84	-1.39	-7.23%	17.75 - 18.96	13.21 - 23.01	7.58亿	-	413.12万	关注
VXX	恐慌指数	36.64	-2.92	-7.38%	36.51 - 39.49	26.81 - 62.64	10.90亿	-	731.38万	关注
KING	King.com	11.15	-0.92	-7.62%	10.68 - 12.07	10.68 - 23.48	35.11亿	2.87	468.10万	关注
