Name,代码,粉丝数
平潭发展 ,(SZ:000592),3090
大通燃气 ,(SZ:000593),331
*ST国恒 ,(SZ:000594),418
西北轴承 ,(SZ:000595),500
古井贡酒 ,(SZ:000596),2349
东北制药 ,(SZ:000597),1797
兴蓉投资 ,(SZ:000598),3156
青岛双星 ,(SZ:000599),477
建投能源 ,(SZ:000600),1049
韶能股份 ,(SZ:000601),697
金马退市 ,(SZ:000602),72
盛达矿业 ,(SZ:000603),553
渤海股份 ,(SZ:000605),310
青海明胶 ,(SZ:000606),590
华智控股 ,(SZ:000607),788
阳光股份 ,(SZ:000608),278
绵世股份 ,(SZ:000609),954
西安旅游 ,(SZ:000610),493
四海股份 ,(SZ:000611),246
焦作万方 ,(SZ:000612),1262
大东海A ,(SZ:000613),347
湖北金环 ,(SZ:000615),362
亿城投资 ,(SZ:000616),1163
石油济柴 ,(SZ:000617),412
海螺型材 ,(SZ:000619),520
新华联 ,(SZ:000620),784
恒立实业 ,(SZ:000622),354
吉林敖东 ,(SZ:000623),6566
长安汽车 ,(SZ:000625),9516
如意集团 ,(SZ:000626),346
天茂集团 ,(SZ:000627),574
高新发展 ,(SZ:000628),309
攀钢钒钛 ,(SZ:000629),3262
铜陵有色 ,(SZ:000630),1262
顺发恒业 ,(SZ:000631),575
三木集团 ,(SZ:000632),462
合金投资 ,(SZ:000633),217
英力特 ,(SZ:000635),512
风华高科 ,(SZ:000636),629
茂化实华 ,(SZ:000637),413
万方发展 ,(SZ:000638),444
西王食品 ,(SZ:000639),1360
仁和药业 ,(SZ:000650),1568
格力电器 ,(SZ:000651),22455
泰达股份 ,(SZ:000652),750
金岭矿业 ,(SZ:000655),382
金科股份 ,(SZ:000656),696
中钨高新 ,(SZ:000657),596
*ST中富 ,(SZ:000659),1037
长春高新 ,(SZ:000661),5007
索芙特 ,(SZ:000662),402
永安林业 ,(SZ:000663),806
湖北广电 ,(SZ:000665),395
经纬纺机 ,(SZ:000666),749
美好集团 ,(SZ:000667),651
荣丰控股 ,(SZ:000668),241
金鸿能源 ,(SZ:000669),976
盈方微 ,(SZ:000670),1784
阳光城 ,(SZ:000671),1223
上峰水泥 ,(SZ:000672),276
当代东方 ,(SZ:000673),701
思达高科 ,(SZ:000676),328
恒天海龙 ,(SZ:000677),679
襄阳轴承 ,(SZ:000678),411
大连友谊 ,(SZ:000679),388
山推股份 ,(SZ:000680),796
视觉中国 ,(SZ:000681),1546
东方电子 ,(SZ:000682),497
远兴能源 ,(SZ:000683),490
中山公用 ,(SZ:000685),802
东北证券 ,(SZ:000686),1061
恒天天鹅 ,(SZ:000687),804
建新矿业 ,(SZ:000688),546
宝新能源 ,(SZ:000690),1222
亚太实业 ,(SZ:000691),320
惠天热电 ,(SZ:000692),402
华泽钴镍 ,(SZ:000693),1275
滨海能源 ,(SZ:000695),495
炼石有色 ,(SZ:000697),1233
沈阳化工 ,(SZ:000698),328
模塑科技 ,(SZ:000700),1622
厦门信达 ,(SZ:000701),590
正虹科技 ,(SZ:000702),327
恒逸石化 ,(SZ:000703),750
浙江震元 ,(SZ:000705),1401
双环科技 ,(SZ:000707),441
大冶特钢 ,(SZ:000708),615
河北钢铁 ,(SZ:000709),922
天兴仪表 ,(SZ:000710),452
天伦置业 ,(SZ:000711),382
锦龙股份 ,(SZ:000712),716
丰乐种业 ,(SZ:000713),439
中兴商业 ,(SZ:000715),628
南方食品 ,(SZ:000716),1283
韶钢松山 ,(SZ:000717),317
苏宁环球 ,(SZ:000718),914
大地传媒 ,(SZ:000719),590
新能泰山 ,(SZ:000720),1042
西安饮食 ,(SZ:000721),861
湖南发展 ,(SZ:000722),448
美锦能源 ,(SZ:000723),336
京东方A ,(SZ:000725),9934
鲁泰A ,(SZ:000726),5329
华东科技 ,(SZ:000727),875
国元证券 ,(SZ:000728),1424
燕京啤酒 ,(SZ:000729),1853
四川美丰 ,(SZ:000731),1948
泰禾集团 ,(SZ:000732),396
振华科技 ,(SZ:000733),1011
罗牛山 ,(SZ:000735),1467
中房地产 ,(SZ:000736),218
南风化工 ,(SZ:000737),386
中航动控 ,(SZ:000738),1526
普洛药业 ,(SZ:000739),1328
长城信息 ,(SZ:000748),723
国海证券 ,(SZ:000750),1478
锌业股份 ,(SZ:000751),2127
西藏发展 ,(SZ:000752),744
漳州发展 ,(SZ:000753),757
*ST三维 ,(SZ:000755),327
新华制药 ,(SZ:000756),1949
浩物股份 ,(SZ:000757),641
中色股份 ,(SZ:000758),1046
中百集团 ,(SZ:000759),1162
斯太尔 ,(SZ:000760),921
本钢板材 ,(SZ:000761),462
西藏矿业 ,(SZ:000762),1515
通化金马 ,(SZ:000766),502
漳泽电力 ,(SZ:000767),635
中航飞机 ,(SZ:000768),2793
广发证券 ,(SZ:000776),3282
中核科技 ,(SZ:000777),2403
新兴铸管 ,(SZ:000778),1324
*ST派神 ,(SZ:000779),354
平庄能源 ,(SZ:000780),393
美达股份 ,(SZ:000782),241
长江证券 ,(SZ:000783),3188
武汉中商 ,(SZ:000785),360
北新建材 ,(SZ:000786),2157
*ST创智 ,(SZ:000787),25
北大医药 ,(SZ:000788),2648
江西水泥 ,(SZ:000789),593
华神集团 ,(SZ:000790),1321
甘肃电投 ,(SZ:000791),239
盐湖股份 ,(SZ:000792),2633
华闻传媒 ,(SZ:000793),1765
太原刚玉 ,(SZ:000795),540
易食股份 ,(SZ:000796),346
中国武夷 ,(SZ:000797),707
中水渔业 ,(SZ:000798),457
酒鬼酒 ,(SZ:000799),3571
一汽轿车 ,(SZ:000800),2916
四川九洲 ,(SZ:000801),908
北京旅游 ,(SZ:000802),1686
金宇车城 ,(SZ:000803),304
银河投资 ,(SZ:000806),600
云铝股份 ,(SZ:000807),666
铁岭新城 ,(SZ:000809),262
华润锦华 ,(SZ:000810),395
烟台冰轮 ,(SZ:000811),2630
陕西金叶 ,(SZ:000812),965
天山纺织 ,(SZ:000813),383
美利纸业 ,(SZ:000815),199
江淮动力 ,(SZ:000816),564
方大化工 ,(SZ:000818),371
岳阳兴长 ,(SZ:000819),464
金城股份 ,(SZ:000820),231
京山轻机 ,(SZ:000821),839
*ST海化 ,(SZ:000822),517
超声电子 ,(SZ:000823),1714
太钢不锈 ,(SZ:000825),874
桑德环境 ,(SZ:000826),4365
东莞控股 ,(SZ:000828),468
天音控股 ,(SZ:000829),2949
鲁西化工 ,(SZ:000830),652
五矿稀土 ,(SZ:000831),1760
贵糖股份 ,(SZ:000833),501
四川圣达 ,(SZ:000835),322
鑫茂科技 ,(SZ:000836),304
秦川发展 ,(SZ:000837),1154
国兴地产 ,(SZ:000838),212
中信国安 ,(SZ:000839),1813
承德露露 ,(SZ:000848),4608
华茂股份 ,(SZ:000850),612
高鸿股份 ,(SZ:000851),3826
江钻股份 ,(SZ:000852),1001
冀东装备 ,(SZ:000856),545
五粮液 ,(SZ:000858),25869
国风塑业 ,(SZ:000859),525
顺鑫农业 ,(SZ:000860),1778
海印股份 ,(SZ:000861),715
银星能源 ,(SZ:000862),499
三湘股份 ,(SZ:000863),398
安凯客车 ,(SZ:000868),941
张裕A ,(SZ:000869),8506
吉电股份 ,(SZ:000875),669
新希望 ,(SZ:000876),4133
天山股份 ,(SZ:000877),848
云南铜业 ,(SZ:000878),1268
潍柴重机 ,(SZ:000880),516
大连国际 ,(SZ:000881),446
华联股份 ,(SZ:000882),591
湖北能源 ,(SZ:000883),901
同力水泥 ,(SZ:000885),294
海南高速 ,(SZ:000886),605
中鼎股份 ,(SZ:000887),1183
峨眉山A ,(SZ:000888),651
茂业物流 ,(SZ:000889),527
法尔胜 ,(SZ:000890),253
星美联合 ,(SZ:000892),267
东凌粮油 ,(SZ:000893),496
双汇发展 ,(SZ:000895),7274
津滨发展 ,(SZ:000897),2227
