00299,中讯软件
00300,昆明机床
00302,永亨银行
00303,VTECHHOLDINGS
00305,五菱汽车
00306,冠忠巴士集团
00307,优派能源发展
00308,香港中旅
00309,新华通讯频媒
00311,联泰控股
00312,岁宝百货
00313,裕田中国
00315,数码通电讯
00316,东方海外国际
00317,广州广船国际股份
00318,黄河实业
00319,勤美达国际
00320,金宝通
00321,德永佳集团
00322,康师傅控股
00323,马鞍山钢铁股份
00325,创生控股
00326,中国星集团
00327,百富环球
00328,ALCOHOLDINGS
00329,叁龙国际
00330,思捷环球
00331,春天百货
00332,NGAILIKIND
00333,黛丽斯国际
00334,唯冠国际
00335,美建集团
00336,华宝国际
00337,盛高置地
00338,上海石油化工股份
00340,中国矿业
00341,大家乐集团
00342,新海能源
00343,文化传信
00345,VITASOYINTL
00346,延长石油国际
00347,鞍钢股份
00348,龙昌
00350,经纬纺织机械股份
00351,亚洲能源物流
00352,富阳
00353,能源国际投资
00354,中国软件国际
00355,世纪城市国际
00357,美兰机场
00358,江西铜业股份
00359,海升果汁
00360,新焦点
00361,顺龙控股
00362,中国天化工
00363,上海实业控股
00364,华丰集团
00365,日东科技
00366,陆氏集团(越南)
00367,庄士机构国际
00368,中外运航运
00369,永泰地产
00370,国华
00371,北控水务集团
00372,德祥企业
00373,联合集团
00374,四洲集团
00375,YGMTRADING
00376,瑞东集团
00377,新洲印刷集团
00378,事安集团
00379,必美宜
00380,中国管业
00381,侨雄能源
00382,威灵控股
00383,中国网络资本
00384,中国燃气
00385,建联集团
00386,中国石油化工股份
00387,力丰(集团)
00388,香港交易所
00389,通天酒业
00390,中国中铁
00391,美亚娱乐资讯
00392,北京控股
00393,旭日企业
00395,中国龙新能源
00396,兴利(香港)控股
00397,君阳太阳能
00398,东方表行集团
00399,联合基因集团
00401,万嘉集团
00402,蒙古投资
00403,星光集团
00404,新昌营造
00406,有利集团
00408,叶氏化工集团
00410,SOHO中国
00411,南顺(香港)
00412,汉基控股
00413,南华中国
00417,谢瑞麟
00418,方正控股
00419,中国9号健康
00420,福田实业
00421,中国大冶优先股
00422,越南制造加工出口
00423,经济日报集团
00425,敏实集团
00426,万华媒体
00430,东方网库
00431,大中华实业
00432,盈大地产
00433,北方矿业
00434,博雅互动
00438,彩虹电子
00439,英发国际
00440,大新金融
00444,SINCEREWATCHHK
00445,中国消防
00449,志高控股
00450,鸿兴印刷集团
00451,森泰集团
00455,天大药业
00456,新城市建设发展
00458,联亚集团
00459,美联工商铺
00460,四环医药
00462,天然乳品
00464,建福集团
00465,富通科技
00467,联合能源集团
00468,纷美包装
00469,凯普松国际
00471,中播控股
00472,金六福投资
00474,昊天能源集团
00475,中发展控股
00476,中铜资源
00477,奥普集团控股
00479,华建控股
00480,香港兴业国际
00482,圣马丁国际
00483,包浩斯国际
00484,云游控股
00485,STARLIGHTINTL
00486,RUSAL
00487,实德环球
00488,丽新发展
00489,东风集团股份
00491,汉传媒
00493,国美电器
00494,利丰
00495,PALADIN
00496,卡森国际
00497,资本策略地产
00498,保华集团
00499,华脉无线通信
00500,天地数码(控股)
00503,朗生医药
00505,兴业铜业
00506,中国食品
00508,鼎亿集团投资
00509,世纪阳光
00510,时富金融服务集团
00511,电视广播
00512,远大医药
00513,恒和集团
00515,达进东方照明
00516,瀚智集团
00517,中远国际控股
00518,同得仕(集团)
00519,实力建业
00521,首长科技
00522,ASMPACIFIC
00524,E-KONGGROUP
00525,广深铁路股份
00526,利时集团控股
00527,中国瑞风
00528,金达控股
00529,SISINTL
00530,高银金融
00531,顺诚
00532,WKKINTL(HOLD)
00533,金利来集团
00535,金地商置
00536,贸易通
00538,味千(中国)
00539,冠华国际控股
00540,迅捷环球控股
00542,新岭域集团
00543,太平洋网络
00544,大同集团
00546,阜丰集团
00547,奥亮集团
00548,深圳高速公路股份
00549,奇峰化纤
00550,先传媒
00551,裕元集团
00552,中国通信服务
00553,南京熊猫电子股份
00554,汉思能源
00555,御泰中彩控股
00556,泛亚环保
00557,CITYE-SOLUTION
00558,力劲科技
00559,国藏集团
00560,珠江船务
00563,上实城市开发
00564,郑煤机
00565,锦艺纺织
00566,汉能太阳能
00567,大昌微线集团
00568,山东墨龙
00569,中国自动化
00570,盈天医药
00571,丰德丽控股
00572,中国包装集团
00573,稻香控股
00575,励晶太平洋
00576,浙江沪杭甬
00577,路易十三集团
00578,融信资源
00579,京能清洁能源
00580,赛晶电力电子
00581,中国东方集团
00582,嘉辉化工
00583,南华早报集团
00585,意马国际
00586,海螺创业
00587,华瀚生物制药
00588,北京北辰实业股份
00589,宝姿
00590,六福集团
00591,中国高精密
00592,BOSSINIINTL
00593,ALLIEDOVERSEA
00595,AVCONCEPTHOLD
00596,浪潮国际
00598,中国外运
00599,怡邦行控股
00600,中国基建投资
00601,权智（国际）
00602,佳华百货控股
00603,中油燃气
00604,深圳控股
00605,中国金融投资管理
00606,中国粮油控股
00607,汇多利
00608,达利国际
00609,天德化工
00610,WAIKEEHOLD
00611,中核工业二三国际
00613,YUGANGINTL
00616,永义实业
00617,百利保控股
00618,方正数码
00619,南华金融
00620,UDLHOLDINGS
00621,坛金矿业
00622,威华达控股
00623,中视金桥
00626,大众金融控股
00627,佑威国际
00628,多金控股
00629,悦达矿业
00630,隽泰控股
00631,三一国际
00632,东方明珠石油
00633,中国全通
00635,彩星集团
00636,嘉里物流
00637,利记
00638,建溢集团
00639,首钢资源
00640,星谦化工
00641,立信工业
00642,PALADINPREF
00643,恒富控股
00645,安域亚洲
00646,中国环保科技
00647,JOYCEBOUTIQUE
00648,中国仁济医疗
00650,顺昌集团
00651,中海船舶
00653,卓悦控股
00655,香港华人有限公司
00656,复星国际
00657,环科国际
00658,中国高速传动
00659,新创建集团
00660,伟俊矿业集团
00661,中国大冶有色金属
00662,亚洲金融
00663,金山能源
00665,海通国际
00668,东原地产
00669,创科实业
00670,中国东方航空股份
00672,众安房产
00673,中国卫生控股
00674,文化地标投资
00675,坚宝国际
00676,创信国际
00677,金源米业
00678,云顶香港
00679,亚洲联网科技
00680,南海控股
00681,中民控股
00682,超大现代
00683,嘉里建设
00684,亚伦国际
00685,世界华文媒体
00686,金保利新能源
00687,泰升集团
00688,中国海外发展
00689,长盈集团(控股)
00690,联康生物科技集团
00691,山水水泥
00692,中国家居
00693,陈唱国际
00694,北京首都机场股份
00695,东吴水泥
00696,中国民航信息网络
00697,SHOUGANGINTL
00698,通达集团
00700,腾讯控股
00701,CNTGROUP
00702,中国油气控股
00703,FUTUREBRIGHT
00704,和嘉资源
00705,南亚矿业
00706,银创控股
00707,协盛协丰
00708,新传媒
00709,佐丹奴国际
00710,精电
00711,俊和发展集团
00712,卡姆丹克太阳能
00713,世界（集团）
00715,和记港陆
00716,胜狮货柜
00717,英皇证券
00718,百威国际
00719,山东新华制药股份
00720,意达利控股
00723,永保林业
00724,泰丰国际
00725,恒都集团
00726,东南国际集团
00727,卓越金融
00728,中国电信
00729,中聚电池
00730,SHOUGANGGRAND
00731,森信纸业集团
00732,信利国际
