sz000001,平安银行
sz000002,万科Ａ
sz000004,国农科技
sz000005,世纪星源
sz000006,深振业Ａ
sz000007,零七股份
sz000008,宝利来
sz000009,中国宝安
sz000010,深华新
sz000011,深物业A
sz000012,南玻Ａ
sz000014,沙河股份
sz000016,深康佳Ａ
sz000017,*ST中华A
sz000018,中冠A
sz000019,深深宝Ａ
sz000020,深华发Ａ
sz000021,长城开发
sz000022,深赤湾Ａ
sz000023,深天地Ａ
sz000024,招商地产
sz000025,特力Ａ
sz000026,飞亚达Ａ
sz000027,深圳能源
sz000028,国药一致
sz000029,深深房Ａ
sz000030,富奥股份
sz000031,中粮地产
sz000032,深桑达Ａ
sz000033,新都酒店
sz000034,深信泰丰
sz000035,*ST科健
sz000036,华联控股
sz000037,深南电Ａ
sz000038,深大通
sz000039,中集集团
sz000040,宝安地产
sz000042,中洲控股
sz000043,中航地产
sz000045,深纺织Ａ
sz000046,泛海建设
sz000048,康达尔
sz000049,德赛电池
sz000050,深天马Ａ
sz000055,方大集团
sz000056,深国商
sz000058,深赛格
sz000059,华锦股份
sz000060,中金岭南
sz000061,农产品
sz000062,深圳华强
sz000063,中兴通讯
sz000065,北方国际
sz000066,长城电脑
sz000068,华控赛格
sz000069,华侨城Ａ
sz000070,特发信息
sz000078,海王生物
sz000088,盐田港
sz000089,深圳机场
sz000090,深天健
sz000096,广聚能源
sz000099,中信海直
sz000100,TCL集团
sz000150,宜华地产
sz000151,中成股份
sz000153,丰原药业
sz000155,川化股份
sz000156,华数传媒
sz000157,中联重科
sz000158,常山股份
sz000159,国际实业
sz000301,东方市场
sz000333,美的集团
sz000338,潍柴动力
sz000400,许继电气
sz000401,冀东水泥
sz000402,金融街
sz000403,*ST生化
sz000404,华意压缩
sz000407,胜利股份
sz000408,金谷源
sz000409,山东地矿
sz000410,沈阳机床
sz000411,英特集团
sz000413,东旭光电
sz000415,渤海租赁
sz000416,民生投资
sz000417,合肥百货
sz000418,小天鹅Ａ
sz000419,通程控股
sz000420,吉林化纤
sz000421,南京中北
sz000422,湖北宜化
sz000423,东阿阿胶
sz000425,徐工机械
sz000426,兴业矿业
sz000428,华天酒店
sz000429,粤高速Ａ
sz000430,张家界
sz000488,晨鸣纸业
sz000498,山东路桥
sz000501,鄂武商Ａ
sz000502,绿景控股
sz000503,海虹控股
sz000504,*ST传媒
sz000505,*ST珠江
sz000506,中润资源
sz000507,珠海港
sz000509,*ST华塑
sz000510,金路集团
sz000511,烯碳新材
sz000513,丽珠集团
sz000514,渝开发
sz000516,开元投资
sz000517,荣安地产
sz000518,四环生物
sz000519,江南红箭
sz000520,*ST凤凰
sz000521,美菱电器
sz000523,广州浪奇
sz000524,东方宾馆
sz000525,红太阳
sz000526,银润投资
sz000528,柳工
sz000529,广弘控股
sz000530,大冷股份
sz000531,穗恒运Ａ
sz000532,力合股份
sz000533,万家乐
sz000534,万泽股份
sz000536,华映科技
sz000537,广宇发展
sz000538,云南白药
sz000539,粤电力Ａ
sz000540,中天城投
sz000541,佛山照明
sz000543,皖能电力
sz000544,中原环保
sz000545,金浦钛业
sz000546,光华控股
sz000547,闽福发Ａ
sz000548,湖南投资
sz000550,江铃汽车
sz000551,创元科技
sz000552,靖远煤电
sz000553,沙隆达Ａ
sz000554,泰山石油
sz000555,神州信息
sz000557,*ST广夏
sz000558,莱茵置业
sz000559,万向钱潮
sz000560,昆百大Ａ
sz000561,烽火电子
sz000562,宏源证券
sz000563,陕国投Ａ
sz000564,西安民生
sz000565,渝三峡Ａ
sz000566,海南海药
sz000567,海德股份
sz000568,泸州老窖
sz000570,苏常柴Ａ
sz000571,新大洲Ａ
sz000572,海马汽车
sz000573,粤宏远Ａ
sz000576,广东甘化
sz000581,威孚高科
sz000582,北海港
sz000584,友利控股
sz000585,东北电气
sz000586,汇源通信
sz000587,金叶珠宝
sz000589,黔轮胎Ａ
sz000590,紫光古汉
sz000591,桐君阁
sz000592,中福实业
sz000593,大通燃气
sz000594,*ST国恒
sz000595,西北轴承
sz000596,古井贡酒
sz000597,东北制药
sz000598,兴蓉投资
sz000599,青岛双星
sz000600,建投能源
sz000601,韶能股份
sz000603,盛达矿业
sz000605,渤海股份
sz000606,青海明胶
sz000607,华智控股
sz000608,阳光股份
sz000609,绵世股份
sz000610,西安旅游
sz000611,四海股份
sz000612,焦作万方
sz000613,大东海A
sz000615,湖北金环
sz000616,亿城股份
sz000617,*ST济柴
sz000619,海螺型材
sz000620,新华联
sz000622,恒立实业
sz000623,吉林敖东
sz000625,长安汽车
sz000626,如意集团
sz000627,天茂集团
sz000628,高新发展
sz000629,攀钢钒钛
sz000630,铜陵有色
sz000631,顺发恒业
sz000632,三木集团
sz000633,合金投资
sz000635,英力特
sz000636,风华高科
sz000637,茂化实华
sz000638,万方发展
sz000639,西王食品
sz000650,仁和药业
sz000651,格力电器
sz000652,泰达股份
sz000655,金岭矿业
sz000656,金科股份
sz000657,中钨高新
sz000659,珠海中富
sz000661,长春高新
sz000662,索芙特
sz000663,永安林业
sz000665,湖北广电
sz000666,经纬纺机
sz000667,美好集团
sz000668,荣丰控股
sz000669,金鸿能源
sz000670,S舜元
sz000671,阳光城
sz000672,上峰水泥
sz000673,当代东方
sz000676,*ST思达
sz000677,恒天海龙
sz000678,襄阳轴承
sz000679,大连友谊
sz000680,山推股份
sz000681,远东股份
sz000682,东方电子
sz000683,远兴能源
sz000685,中山公用
sz000686,东北证券
sz000687,恒天天鹅
sz000688,建新矿业
sz000690,宝新能源
sz000691,亚太实业
sz000692,惠天热电
sz000693,华泽钴镍
sz000695,滨海能源
sz000697,炼石有色
sz000698,沈阳化工
sz000700,模塑科技
sz000701,厦门信达
sz000702,正虹科技
sz000703,恒逸石化
sz000705,浙江震元
sz000707,双环科技
sz000708,大冶特钢
sz000709,河北钢铁
sz000710,天兴仪表
sz000711,天伦置业
sz000712,锦龙股份
sz000713,丰乐种业
sz000715,中兴商业
sz000716,南方食品
sz000717,韶钢松山
sz000718,苏宁环球
sz000719,大地传媒
sz000720,新能泰山
sz000721,西安饮食
sz000722,湖南发展
sz000723,美锦能源
sz000725,京东方Ａ
sz000726,鲁泰Ａ
sz000727,华东科技
sz000728,国元证券
sz000729,燕京啤酒
sz000731,四川美丰
sz000732,泰禾集团
sz000733,振华科技
sz000735,罗牛山
sz000736,中房地产
sz000737,南风化工
sz000738,中航动控
sz000739,普洛药业
sz000748,长城信息
sz000750,国海证券
sz000752,西藏发展
sz000753,漳州发展
sz000755,*ST三维
sz000756,新华制药
sz000757,浩物股份
sz000758,中色股份
sz000759,中百集团
sz000760,博盈投资
sz000761,本钢板材
sz000762,西藏矿业
sz000766,通化金马
sz000767,漳泽电力
sz000768,中航飞机
sz000776,广发证券
sz000777,中核科技
sz000778,新兴铸管
sz000779,三毛派神
sz000780,平庄能源
sz000782,美达股份
sz000783,长江证券
sz000785,武汉中商
sz000786,北新建材
sz000788,北大医药
sz000789,江西水泥
sz000790,华神集团
sz000791,甘肃电投
sz000792,盐湖股份
sz000793,华闻传媒
sz000795,太原刚玉
sz000796,易食股份
sz000797,中国武夷
sz000798,中水渔业
sz000799,酒鬼酒
sz000800,一汽轿车
sz000801,四川九洲
sz000802,北京旅游
sz000803,金宇车城
sz000806,银河投资
sz000807,云铝股份
sz000809,铁岭新城
sz000810,华润锦华
sz000811,烟台冰轮
sz000812,陕西金叶
sz000813,天山纺织
sz000815,美利纸业
sz000816,江淮动力
sz000818,方大化工
sz000819,岳阳兴长
sz000820,金城股份
sz000821,京山轻机
sz000822,*ST海化
sz000823,超声电子
