Name,52周最高,52周最低,总市值,每股净资产,市盈率,总股本,每股收益,市净率,30日均量,流通股本,股息率,市销率
sh601918,5.61,2.67,96.37亿,3.13,646.14/-,25.91亿,-0.25,1.19,5438.20万,25.91亿,0.13%,1.27
sh601919,3.89,2.91,368.81亿,2.17,156.63/-,102.16亿,-0.22,1.67,2309.61万,76.36亿,-,0.59
sh601928,14.78,8.01,280.70亿,3.90,29.86/28.26,25.45亿,0.23,2.83,4640.46万,6.59亿,1.80%,3.68
sh601929,14.33,7.43,186.13亿,3.05,46.29/32.18,14.68亿,0.18,4.16,1490.20万,8.66亿,0.43%,8.80
sh601933,15.55,5.79,255.47亿,1.86,35.45/32.57,32.54亿,0.14,4.23,2698.32万,30.72亿,2.52%,0.76
sh601939,4.60,3.75,10275.45亿,4.55,4.79/4.55,2500.11亿,0.52,0.90,3778.26万,95.94亿,7.23%,1.91
sh601958,9.24,5.72,274.26亿,4.07,154.06/183.91,32.27亿,0.03,2.09,2294.36万,32.27亿,0.47%,3.29
sh601965,17.68,9.60,85.80亿,5.09,20.32/20.26,6.41亿,0.23,2.63,635.17万,1.92亿,1.47%,5.97
sh601988,2.93,2.44,7573.72亿,3.46,4.83/4.56,2794.73亿,0.32,0.78,5001.51万,1958.15亿,7.18%,1.75
sh601989,6.96,4.36,1006.29亿,3.19,34.28/35.70,175.31亿,0.09,1.80,1.42亿,155.12亿,0.79%,2.06
sh601991,4.90,3.49,523.08亿,3.33,14.83/14.48,133.10亿,0.15,1.18,1662.89万,99.94亿,3.03%,0.72
sh601992,8.16,4.98,312.44亿,6.29,-/9.48,47.85亿,0.30,1.04,3019.89万,31.11亿,1.20%,3.91
sh601996,9.60,6.34,37.09亿,3.56,40.90/36.48,4.69亿,0.12,2.22,1238.61万,1.96亿,0.78%,3.38
sh601998,5.58,3.53,2058.64亿,5.11,5.25/5.04,467.87亿,0.47,0.86,4946.73万,319.05亿,5.71%,1.77
sh601999,11.38,6.06,58.89亿,3.18,84.09/89.34,5.51亿,0.04,3.36,1971.08万,5.51亿,0.36%,4.01
sh603000,99.39,30.81,275.76亿,4.06,101.06/102.67,5.53亿,0.17,12.28,1830.16万,2.23亿,1.01%,22.08
sh603001,18.31,13.02,61.51亿,9.45,22.43/28.01,4.01亿,0.39,1.62,330.42万,1.17亿,1.43%,2.24
sh603002,8.27,5.99,32.84亿,2.26,209.81/48.47,4.00亿,0.08,3.63,769.48万,1.90亿,0.65%,11.53
sh603003,15.80,8.89,30.22亿,3.89,-/-,2.02亿,0.02,3.85,609.86万,6333.61万,0.34%,0.64
sh603005,47.80,22.99,98.21亿,6.49,63.88/58.59,2.27亿,0.39,6.68,243.04万,5667.42万,0.34%,19.20
sh603006,37.07,11.92,25.29亿,6.70,41.94/52.65,8000.00万,0.55,4.71,273.65万,2000.00万,-,5.74
sh603008,12.29,7.10,35.12亿,3.64,29.22/27.29,3.15亿,0.16,3.06,468.16万,1.98亿,1.19%,3.00
sh603009,28.56,8.41,25.87亿,2.55,63.27/80.17,1.07亿,0.28,9.51,564.42万,2667.00万,-,4.31
sh603077,16.91,6.46,95.65亿,4.72,148.44/13.73,10.11亿,0.72,2.00,1424.40万,3.00亿,0.43%,5.05
sh603099,18.80,5.45,47.44亿,1.59,76.20/-,2.67亿,-0.03,11.20,297.13万,6667.00万,-,19.42
sh603100,16.17,8.06,60.16亿,2.59,42.54/46.72,3.95亿,0.26,5.87,1355.48万,10000.00万,-,1.79
sh603111,20.43,8.27,58.30亿,1.51,49.84/45.37,2.89亿,0.34,13.36,1203.68万,7230.00万,-,4.59
sh603123,11.06,7.55,31.23亿,5.51,23.41/30.97,3.08亿,0.20,1.84,629.54万,1.12亿,1.78%,0.71
sh603126,17.89,4.15,62.92亿,2.58,69.17/79.51,4.07亿,0.16,6.00,1862.04万,8000.00万,-,5.53
sh603128,18.63,8.99,50.28亿,3.27,61.83/55.50,4.00亿,0.12,3.84,1033.03万,1.60亿,0.66%,0.60
sh603167,12.17,7.26,56.32亿,5.51,24.12/24.08,4.81亿,0.28,2.12,1378.50万,3.05亿,1.28%,5.09
sh603168,91.98,26.22,58.60亿,10.64,56.30/67.97,6535.00万,1.31,8.42,221.44万,1633.61万,-,7.95
sh603188,32.46,24.59,93.48亿,3.92,36.04/-,2.88亿,1.20,8.28,6243.00,-,-,4.45
sh603288,77.80,31.70,573.95亿,4.32,35.73/31.23,14.97亿,0.74,8.87,319.95万,1.50亿,1.31%,6.35
sh603306,-,-,-,4.34,-/-,1.05亿,0.67,-,-,-,-,-
sh603308,17.02,9.94,65.84亿,4.41,40.46/43.94,4.00亿,0.20,3.73,865.51万,8001.00万,0.50%,4.96
sh603328,33.00,18.37,131.25亿,7.74,40.80/61.09,4.89亿,0.38,3.47,951.50万,9000.00万,-,4.99
sh603333,5.25,4.00,26.99亿,2.93,417.28/-,5.20亿,-0.04,1.77,782.85万,1.95亿,0.08%,3.88
sh603366,16.26,12.86,63.80亿,8.71,20.72/20.04,4.00亿,0.43,1.83,371.43万,1.41亿,3.34%,2.16
sh603369,32.45,20.32,136.04亿,6.69,19.97/21.44,5.02亿,1.02,4.05,363.15万,5180.00万,-,5.60
sh603399,14.07,7.97,37.99亿,3.02,69.26/75.89,3.55亿,0.07,3.54,1213.80万,1.25亿,0.31%,1.61
sh603555,16.53,10.51,78.53亿,3.40,18.54/18.99,6.14亿,0.27,3.76,488.01万,8900.00万,3.49%,3.64
sh603609,16.10,7.06,79.63亿,3.23,4861986.99/50.80,5.54亿,0.19,4.45,1334.00万,8000.00万,-,24.41
